"","NMDS1","NMDS2","Plant","Treatment","Line","Replicate","Date","Compartment"
"P10_C_High_S1_Sept_root",-0.0328128168859753,-0.0274320153846519,"P10","C","High","S1","Sept","root"
"P10_C_High_S2_Sept_root",-0.017063704091087,-0.0272294494734846,"P10","C","High","S2","Sept","root"
"P10_C_High_S3_Sept_root",-0.107636006812793,-0.245229247305609,"P10","C","High","S3","Sept","root"
"P11_A_Low_S1_July_root",-0.00378170946593175,0.0699465195820748,"P11","A","Low","S1","July","root"
"P11_C_Low_S1_July_root",0.109359846234719,0.0705822650222104,"P11","C","Low","S1","July","root"
"P11_C_Low_S2_July_root",0.112342695141686,0.120641787598319,"P11","C","Low","S2","July","root"
"P11_C_Low_S3_July_root",-0.0134187971797769,-0.0924720968975499,"P11","C","Low","S3","July","root"
"P11_N_Low_S1_July_root",-0.0265531651378695,0.14164239042366,"P11","N","Low","S1","July","root"
"P11_N_Low_S1_Sept_root",-0.108369128397369,0.0507053083833306,"P11","N","Low","S1","Sept","root"
"P11_N_Low_S2_July_root",-0.0448747300569753,0.0958711337401493,"P11","N","Low","S2","July","root"
"P11_N_Low_S2_Sept_root",-0.0161857970198343,0.0744759204219724,"P11","N","Low","S2","Sept","root"
"P11_N_Low_S3_July_root",0.0259987174823678,0.102045543874403,"P11","N","Low","S3","July","root"
"P11_N_Low_S3_Sept_root",0.0646324593293966,-0.00149979738717423,"P11","N","Low","S3","Sept","root"
"P4_A_Low_S1_Sept_root",0.0931657509132058,-0.13273316163388,"P4","A","Low","S1","Sept","root"
"P4_A_Low_S2_Sept_root",0.0551291528134524,0.0648438966077765,"P4","A","Low","S2","Sept","root"
"P6_N_High_S1_Sept_root",-0.13230234640544,-0.105193151771704,"P6","N","High","S1","Sept","root"
"P6_N_High_S2_Sept_root",-0.236969783631604,0.00527222602053211,"P6","N","High","S2","Sept","root"
"P6_N_High_S3_Sept_root",0.0408986230431399,-0.0146595436412761,"P6","N","High","S3","Sept","root"
"P7_C_Low_S1_Sept_root",0.101596666133684,0.0176145438393913,"P7","C","Low","S1","Sept","root"
"P7_C_Low_S2_Sept_root",-0.0690795383542113,-0.0317974196503794,"P7","C","Low","S2","Sept","root"
"P7_C_Low_S3_Sept_root",-0.151760468542344,0.10264328020338,"P7","C","Low","S3","Sept","root"
"P8_A_High_S1_Sept_root",-0.00757563249293199,0.0518359724162646,"P8","A","High","S1","Sept","root"
"P8_A_High_S2_July_root",0.0575120982211018,-0.150683182416353,"P8","A","High","S2","July","root"
"P8_A_High_S2_Sept_root",-0.0238056187795684,-0.0145115834227064,"P8","A","High","S2","Sept","root"
"P8_A_High_S3_July_root",0.130423240460751,-0.104461739006441,"P8","A","High","S3","July","root"
"P8_A_High_S3_Sept_root",0.0501603402418404,-0.0254805379184555,"P8","A","High","S3","Sept","root"
"P8_C_High_S1_July_root",-0.050494938585215,0.0274394881094816,"P8","C","High","S1","July","root"
"P8_C_High_S3_July_root",0.152694479068371,-0.0327575999582978,"P8","C","High","S3","July","root"
"P8_N_High_S2_July_root",0.0487701127552101,0.0105802496250188,"P8","N","High","S2","July","root"
